OrphaCode,DiseaseName,GeneSymbol,GeneId
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,KIF7,20160
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,CWC27,26792
93,Aspartylglucosaminuria,AGA,15470
585,Multiple sulfatase deficiency,SUMF1,15570
118,Beta-mannosidosis,MANBA,16375
166063,Pontocerebellar hypoplasia type 4,TSEN54,17741
166078,Von Willebrand disease type 1,VWF,15714
166073,Pontocerebellar hypoplasia type 6,RARS2,17331
166084,Von Willebrand disease type 2A,VWF,15714
333,Farber disease,ASAH1,15956
349,Fucosidosis,FUCA1,16082
166090,Von Willebrand disease type 2M,VWF,15714
166087,Von Willebrand disease type 2B,VWF,15714
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,AGL,15472
166093,Von Willebrand disease type 2N,VWF,15714
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM,15177
166096,Von Willebrand disease type 3,VWF,15714
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL2A1,15769
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL11A2,15764
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,PFKM,16649
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,FASTKD2,17742
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,PYGL,15176
447,Paroxysmal nocturnal hemoglobinuria,PIGA,19197
166108,Birk-Barel syndrome,KCNK9,17623
166119,Isolated osteopoikilosis,LEMD3,16349
166260,Dentinogenesis imperfecta type 2,DSPP,15896
166265,Dentinogenesis imperfecta type 3,DSPP,15896
166272,Odontochondrodysplasia,TRIP11,18995
576,Mucolipidosis type II,GNPTAB,16152
812,Sialidosis type 1,NEU1,16539
166282,Hereditary sick sinus syndrome,SCN5A,15254
166282,Hereditary sick sinus syndrome,HCN4,16188
166282,Hereditary sick sinus syndrome,MYH6,16500
166282,Hereditary sick sinus syndrome,GNB2,30431
